,see_door,door_locked,see_key,has_key,see_goal
0,True,True,False,False,False
1,True,True,False,False,False
2,True,True,False,False,False
3,True,True,False,False,False
4,True,True,False,False,False
5,False,True,True,False,False
6,False,True,True,False,False
7,False,True,True,False,False
8,False,True,True,False,False
9,False,True,True,False,False
10,False,True,True,False,False
11,False,True,False,True,False
12,True,True,False,True,False
13,True,True,False,True,False
14,True,True,False,True,False
15,True,True,False,True,False
16,True,True,False,True,False
17,True,True,False,True,False
18,True,True,False,True,False
19,True,True,False,True,False
20,True,True,False,True,False
21,True,False,False,True,False
22,True,False,False,True,False
23,True,False,False,True,False
24,True,False,False,True,False
25,False,False,False,True,False
26,False,False,False,True,False
27,True,False,False,True,False
28,False,False,False,True,True
29,False,False,False,True,True
30,False,False,False,True,True
31,False,False,False,True,True
32,False,False,False,True,True
33,False,False,False,True,True
34,False,False,False,True,True
